bin,r_low,r_high,count,teacher_acc,wrong_rate,r_mean,confidence_mean,variance_mean
0,0.0,1.3589951777248643e-05,81473,0.9999631643295288,3.6822013498749584e-05,7.377564998023445e-06,0.9999926090240479,0.0
1,1.3589951777248643e-05,2.9921979148639366e-05,82147,0.999707818031311,0.0002921591803897172,2.116734322044067e-05,0.99997878074646,0.0
2,2.9921979148639366e-05,5.5910721130203456e-05,82100,0.999147355556488,0.0008526187739335,4.173012712271884e-05,0.9999582171440125,0.0
3,5.5910721130203456e-05,0.00010324057075195014,81912,0.9977048635482788,0.002295145997777581,7.701063441345468e-05,0.9999229311943054,0.0
4,0.00010324057075195014,0.00020380904607009143,81955,0.9958513975143433,0.004148618318140507,0.00014591464423574507,0.9998541474342346,0.0
5,0.00020380904607009143,0.0023239688016474247,81932,0.990992546081543,0.0090074697509408,0.0009679698850959539,0.9996213316917419,1.2672185523143753e-09
6,0.0023239688016474247,0.00822815578430891,81921,0.9746584892272949,0.025341488420963287,0.0044718170538544655,0.9991952776908875,1.581354425184145e-08
7,0.00822815578430891,0.045547403395175934,81920,0.957324206829071,0.04267578199505806,0.020822085440158844,0.9969758987426758,3.186536901012005e-07
8,0.045547403395175934,0.47697198390960693,81920,0.9170776605606079,0.08292236179113388,0.17496100068092346,0.9789797067642212,2.2750551579520106e-05
9,0.47697198390960693,5.435855865478516,81920,0.708251953125,0.291748046875,2.1208548545837402,0.7701060175895691,0.0028728123288601637
